id,employee_no,employee_name,branch_id,employee_role,mobile,email,employee_status,joined_at,resigned_at,created_at,updated_at
1,EMP000001,客户经理01,2,relationship_manager,13900000001,emp000001@finance.example,active,2020-01-01 00:00:00,,2020-01-01 00:00:00,2026-01-01 00:00:00
2,EMP000002,信贷审批员02,2,loan_approver,13900000002,emp000002@finance.example,active,2020-01-01 00:00:00,,2020-01-01 00:00:00,2026-01-01 00:00:00
3,EMP000003,风控员03,2,risk_officer,13900000003,emp000003@finance.example,active,2020-01-01 00:00:00,,2020-01-01 00:00:00,2026-01-01 00:00:00
4,EMP000004,催收员04,2,collector,13900000004,emp000004@finance.example,active,2020-01-01 00:00:00,,2020-01-01 00:00:00,2026-01-01 00:00:00
5,EMP000005,运营人员05,2,operator,13900000005,emp000005@finance.example,active,2020-01-01 00:00:00,,2020-01-01 00:00:00,2026-01-01 00:00:00
6,EMP000006,客服人员06,2,customer_service,13900000006,emp000006@finance.example,active,2020-01-01 00:00:00,,2020-01-01 00:00:00,2026-01-01 00:00:00
7,EMP000007,客户经理07,3,relationship_manager,13900000007,emp000007@finance.example,active,2020-01-01 00:00:00,,2020-01-01 00:00:00,2026-01-01 00:00:00
8,EMP000008,信贷审批员08,3,loan_approver,13900000008,emp000008@finance.example,active,2020-01-01 00:00:00,,2020-01-01 00:00:00,2026-01-01 00:00:00
9,EMP000009,风控员09,3,risk_officer,13900000009,emp000009@finance.example,active,2020-01-01 00:00:00,,2020-01-01 00:00:00,2026-01-01 00:00:00
10,EMP000010,催收员10,3,collector,13900000010,emp000010@finance.example,active,2020-01-01 00:00:00,,2020-01-01 00:00:00,2026-01-01 00:00:00
11,EMP000011,运营人员11,3,operator,13900000011,emp000011@finance.example,active,2020-01-01 00:00:00,,2020-01-01 00:00:00,2026-01-01 00:00:00
12,EMP000012,客服人员12,3,customer_service,13900000012,emp000012@finance.example,active,2020-01-01 00:00:00,,2020-01-01 00:00:00,2026-01-01 00:00:00
13,EMP000013,客户经理13,4,relationship_manager,13900000013,emp000013@finance.example,active,2020-01-01 00:00:00,,2020-01-01 00:00:00,2026-01-01 00:00:00
14,EMP000014,信贷审批员14,4,loan_approver,13900000014,emp000014@finance.example,active,2020-01-01 00:00:00,,2020-01-01 00:00:00,2026-01-01 00:00:00
15,EMP000015,风控员15,4,risk_officer,13900000015,emp000015@finance.example,active,2020-01-01 00:00:00,,2020-01-01 00:00:00,2026-01-01 00:00:00
16,EMP000016,催收员16,4,collector,13900000016,emp000016@finance.example,active,2020-01-01 00:00:00,,2020-01-01 00:00:00,2026-01-01 00:00:00
